id,type,group,name
0,1,activeMarker,btSns
1,1,activeMarker,i2cOk
2,1,motion,motion
3,5,motion,deltaX
4,5,motion,deltaY
5,2,motion,shutter
6,1,motion,maxRaw
7,1,motion,minRaw
8,1,motion,Rawsum
9,1,motion,outlierCount
10,1,motion,squal
11,7,motion,std
12,7,ring,fadeTime
13,1,loco,mode
14,7,loco,spiWr
15,7,loco,spiRe
16,2,ranging,state
17,7,ranging,distance0
18,7,ranging,distance1
19,7,ranging,distance2
20,7,ranging,distance3
21,7,ranging,distance4
22,7,ranging,distance5
23,7,ranging,distance6
24,7,ranging,distance7
25,7,ranging,pressure0
26,7,ranging,pressure1
27,7,ranging,pressure2
28,7,ranging,pressure3
29,7,ranging,pressure4
30,7,ranging,pressure5
31,7,ranging,pressure6
32,7,ranging,pressure7
33,7,tdoa2,d7-0
34,7,tdoa2,d0-1
35,7,tdoa2,d1-2
36,7,tdoa2,d2-3
37,7,tdoa2,d3-4
38,7,tdoa2,d4-5
39,7,tdoa2,d5-6
40,7,tdoa2,d6-7
41,7,tdoa2,cc0
42,7,tdoa2,cc1
43,7,tdoa2,cc2
44,7,tdoa2,cc3
45,7,tdoa2,cc4
46,7,tdoa2,cc5
47,7,tdoa2,cc6
48,7,tdoa2,cc7
49,2,tdoa2,dist7-0
50,2,tdoa2,dist0-1
51,2,tdoa2,dist1-2
52,2,tdoa2,dist2-3
53,2,tdoa2,dist3-4
54,2,tdoa2,dist4-5
55,2,tdoa2,dist5-6
56,2,tdoa2,dist6-7
57,1,twr,rangingSuccessRate0
58,1,twr,rangingPerSec0
59,1,twr,rangingSuccessRate1
60,1,twr,rangingPerSec1
61,1,twr,rangingSuccessRate2
62,1,twr,rangingPerSec2
63,1,twr,rangingSuccessRate3
64,1,twr,rangingPerSec3
65,1,twr,rangingSuccessRate4
66,1,twr,rangingPerSec4
67,1,twr,rangingSuccessRate5
68,1,twr,rangingPerSec5
69,2,oa,front
70,2,oa,back
71,2,oa,up
72,2,oa,left
73,2,oa,right
74,7,usd,spiWrBps
75,7,usd,spiReBps
76,7,usd,fatWrBps
77,3,motor,m1
78,3,motor,m2
79,3,motor,m3
80,3,motor,m4
81,6,motor,m1req
82,6,motor,m2req
83,6,motor,m3req
84,6,motor,m4req
85,7,pm,vbat
86,2,pm,vbatMV
87,7,pm,extVbat
88,2,pm,extVbatMV
89,7,pm,extCurr
90,7,pm,chargeCurrent
91,4,pm,state
92,1,pm,batteryLevel
93,1,radio,rssi
94,1,radio,isConnected
95,5,gyro,xRaw
96,5,gyro,yRaw
97,5,gyro,zRaw
98,7,gyro,xVariance
99,7,gyro,yVariance
100,7,gyro,zVariance
101,7,gyro,x
102,7,gyro,y
103,7,gyro,z
104,3,colAv,latency
105,7,ext_pos,X
106,7,ext_pos,Y
107,7,ext_pos,Z
108,7,locSrv,x
109,7,locSrv,y
110,7,locSrv,z
111,7,locSrv,qx
112,7,locSrv,qy
113,7,locSrv,qz
114,7,locSrv,qw
115,2,locSrvZ,tick
116,2,crtp,rxRate
117,2,crtp,txRate
118,7,extrx,thrust
119,7,extrx,roll
120,7,extrx,pitch
121,7,extrx,rollRate
122,7,extrx,pitchRate
123,7,extrx,yawRate
124,7,extrx,zVel
125,1,extrx,AltHold
126,1,extrx,Arm
127,2,extrx_raw,ch0
128,2,extrx_raw,ch1
129,2,extrx_raw,ch2
130,2,extrx_raw,ch3
131,2,extrx_raw,ch4
132,2,extrx_raw,ch5
133,2,extrx_raw,ch6
134,2,extrx_raw,ch7
135,7,health,motorVarXM1
136,7,health,motorVarYM1
137,7,health,motorVarXM2
138,7,health,motorVarYM2
139,7,health,motorVarXM3
140,7,health,motorVarYM3
141,7,health,motorVarXM4
142,7,health,motorVarYM4
143,1,health,motorPass
144,7,health,batterySag
145,1,health,batteryPass
146,2,health,motorTestCount
147,3,memTst,errCntW
148,2,range,front
149,2,range,back
150,2,range,up
151,2,range,left
152,2,range,right
153,2,range,zrange
154,7,sensfusion6,qw
155,7,sensfusion6,qx
156,7,sensfusion6,qy
157,7,sensfusion6,qz
158,7,sensfusion6,gravityX
159,7,sensfusion6,gravityY
160,7,sensfusion6,gravityZ
161,7,sensfusion6,accZbase
162,1,sensfusion6,isInit
163,1,sensfusion6,isCalibrated
164,7,acc,x
165,7,acc,y
166,7,acc,z
167,7,baro,asl
168,7,baro,temp
169,7,baro,pressure
170,5,controller,ctr_yaw
171,7,controller,cmd_thrust
172,7,controller,cmd_roll
173,7,controller,cmd_pitch
174,7,controller,cmd_yaw
175,7,controller,r_roll
176,7,controller,r_pitch
177,7,controller,r_yaw
178,7,controller,accelz
179,7,controller,actuatorThrust
180,7,controller,roll
181,7,controller,pitch
182,7,controller,yaw
183,7,controller,rollRate
184,7,controller,pitchRate
185,7,controller,yawRate
186,7,ctrltarget,x
187,7,ctrltarget,y
188,7,ctrltarget,z
189,7,ctrltarget,vx
190,7,ctrltarget,vy
191,7,ctrltarget,vz
192,7,ctrltarget,ax
193,7,ctrltarget,ay
194,7,ctrltarget,az
195,7,ctrltarget,roll
196,7,ctrltarget,pitch
197,7,ctrltarget,yaw
198,5,ctrltargetZ,x
199,5,ctrltargetZ,y
200,5,ctrltargetZ,z
201,5,ctrltargetZ,vx
202,5,ctrltargetZ,vy
203,5,ctrltargetZ,vz
204,5,ctrltargetZ,ax
205,5,ctrltargetZ,ay
206,5,ctrltargetZ,az
207,7,mag,x
208,7,mag,y
209,7,mag,z
